,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
AU,271.0,594.0,92.0,310.0,221.0,320.0,151.0,389.0,237.0,207.0,98.0,47.0,305.0,269.0,36.0,107.0,13.0,2600.0,363.0,904.0,40.15486725663717,45.622895622895626,29.677419354838708,69.0625,1039.0,540.0,145.0
CSB,249.0,552.0,68.0,318.0,146.0,244.0,145.0,246.0,151.0,137.0,113.0,39.0,235.0,231.0,-149.0,25.0,12.0,2400.0,317.0,870.0,36.4367816091954,45.108695652173914,21.38364779874214,59.83606557377049,848.0,391.0,152.0
CSJL,275.0,619.0,94.0,366.0,170.0,260.0,182.0,328.0,221.0,142.0,117.0,35.0,259.0,259.0,22.0,73.0,13.0,2600.0,369.0,985.0,37.46192893401015,44.4264943457189,25.683060109289617,65.38461538461539,1002.0,510.0,152.0
EAC,224.0,535.0,91.0,318.0,203.0,314.0,171.0,360.0,203.0,172.0,87.0,40.0,268.0,261.0,0.0,81.0,12.0,2400.0,315.0,853.0,36.928487690504106,41.86915887850467,28.61635220125786,64.64968152866243,924.0,531.0,127.0
JRU,289.0,549.0,76.0,276.0,160.0,247.0,134.0,297.0,166.0,163.0,100.0,44.0,281.0,236.0,58.2,120.0,12.0,2400.0,365.0,825.0,44.24242424242424,52.64116575591986,27.536231884057973,64.77732793522267,966.0,431.0,144.0
LPU,277.0,515.0,90.0,310.0,163.0,264.0,146.0,356.0,221.0,172.0,78.0,41.0,255.0,238.0,11.0,81.0,12.0,2400.0,367.0,825.0,44.484848484848484,53.786407766990294,29.032258064516128,61.74242424242424,987.0,502.0,119.0
MU,234.0,540.0,81.0,282.0,239.0,365.0,115.0,320.0,191.0,164.0,99.0,35.0,266.0,302.0,-39.0,35.0,13.0,2600.0,315.0,822.0,38.32116788321168,43.333333333333336,28.72340425531915,65.47945205479452,950.0,435.0,134.0
SBU,202.0,495.0,99.0,399.0,142.0,213.0,143.0,327.0,181.0,127.0,80.0,34.0,247.0,231.0,-46.0,62.0,13.0,2600.0,301.0,894.0,33.66890380313199,40.80808080808081,24.81203007518797,66.66666666666667,843.0,470.0,114.0
SSCR,305.0,572.0,98.0,305.0,257.0,395.0,141.0,418.0,284.0,224.0,76.0,49.0,267.0,329.0,84.6,133.0,13.0,2600.0,403.0,877.0,45.9521094640821,53.32167832167832,32.131147540983605,65.0632911392405,1161.0,559.0,125.0
UPHSD,204.0,489.0,106.0,398.0,146.0,236.0,165.0,337.0,191.0,171.0,116.0,32.0,238.0,228.0,22.0,103.0,13.0,2600.0,310.0,887.0,34.94926719278467,41.717791411042946,26.633165829145728,61.86440677966102,872.0,502.0,148.0
League,253.0,546.0,89.5,328.2,184.7,285.8,149.3,337.8,204.6,167.9,96.4,39.6,262.1,258.4,-0.020000000000000285,82.0,12.6,2520.0,342.5,874.2,39.178677648135434,46.336996336996336,27.269957343083487,64.62561231630511,959.2,487.1,136.0
