,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Tagotongan,CSJL,31.9499999999,2.0,7.0,28.571428571428573,1.0,2.0,50.0,1.0,5.0,20.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,8.0,2.0,-26.0,3.0,6.0
P. Javillonar,CSJL,239.0166666667,34.0,76.0,44.73684210526316,23.0,42.0,54.76190476190476,11.0,34.0,32.35294117647059,25.0,35.0,71.42857142857143,104.0,14.0,27.0,41.0,5.0,16.0,2.0,2.0,4.0,24.0,32.0,-57.0,6.0,11.0
J. Baliling,CSJL,32.55,2.0,15.0,13.333333333333334,0.0,0.0,0.0,2.0,15.0,13.333333333333334,0.0,0.0,0.0,6.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,-12.0,6.0,12.0
J. Pradella,CSJL,30.3499999999,2.0,6.0,33.333333333333336,2.0,4.0,50.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,8.0,4.0,7.0
K. Monje,CSJL,186.99999999999997,29.0,64.0,45.3125,20.0,39.0,51.282051282051285,9.0,25.0,36.0,17.0,24.0,70.83333333333333,84.0,6.0,18.0,24.0,9.0,13.0,3.0,2.0,5.0,19.0,17.0,-38.0,4.0,11.0
N. Montecillo,CSJL,366.4333333333,33.0,109.0,30.275229357798164,13.0,33.0,39.39393939393939,20.0,76.0,26.31578947368421,11.0,15.0,73.33333333333333,97.0,11.0,42.0,53.0,44.0,27.0,19.0,0.0,19.0,36.0,23.0,11.0,7.0,15.0
J. Estrada,CSJL,110.6166666667,23.0,53.0,43.39622641509434,20.0,45.0,44.44444444444444,3.0,8.0,37.5,20.0,22.0,90.9090909090909,69.0,3.0,25.0,28.0,16.0,18.0,4.0,2.0,6.0,5.0,19.0,-4.0,1.0,3.0
S. Estrada,CSJL,358.75,66.0,136.0,48.529411764705884,65.0,125.0,52.0,1.0,11.0,9.090909090909092,36.0,44.0,81.81818181818181,169.0,17.0,65.0,82.0,59.0,52.0,7.0,11.0,18.0,38.0,39.0,7.0,6.0,11.0
I. Dimaano,CSJL,120.99999999999999,8.0,19.0,42.10526315789474,7.0,13.0,53.84615384615385,1.0,6.0,16.666666666666668,7.0,13.0,53.84615384615385,24.0,7.0,16.0,23.0,3.0,4.0,1.0,1.0,2.0,18.0,9.0,-33.0,5.0,9.0
C. Dimaano,CSJL,49.9833333334,1.0,6.0,16.666666666666668,1.0,6.0,16.666666666666668,0.0,0.0,0.0,4.0,6.0,66.66666666666667,6.0,4.0,10.0,14.0,4.0,4.0,0.0,0.0,0.0,13.0,6.0,2.0,1.0,3.0
K. Santos,CSJL,339.8333333333,43.0,97.0,44.329896907216494,41.0,88.0,46.59090909090909,2.0,9.0,22.22222222222222,26.0,33.0,78.78787878787878,114.0,25.0,67.0,92.0,16.0,29.0,8.0,32.0,40.0,19.0,33.0,3.0,7.0,14.0
C. Delfino,CSJL,88.6166666666,4.0,22.0,18.181818181818183,4.0,14.0,28.571428571428573,0.0,8.0,0.0,2.0,4.0,50.0,10.0,5.0,5.0,10.0,9.0,6.0,5.0,2.0,7.0,17.0,8.0,-8.0,5.0,11.0
V. Cuajao,CSJL,492.7666666668,63.0,169.0,37.27810650887574,22.0,30.0,73.33333333333333,41.0,139.0,29.496402877697843,17.0,23.0,73.91304347826087,184.0,4.0,25.0,29.0,20.0,11.0,13.0,4.0,17.0,27.0,23.0,-37.0,7.0,15.0
J. Jumao-os,CSJL,115.9,16.0,45.0,35.55555555555556,13.0,30.0,43.333333333333336,3.0,15.0,20.0,8.0,12.0,66.66666666666667,43.0,3.0,16.0,19.0,6.0,8.0,4.0,1.0,5.0,13.0,9.0,-8.0,7.0,13.0
M. Sarza,CSJL,6.4333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-8.0,1.0,2.0
E. Galoy,CSJL,17.2333333333,1.0,5.0,20.0,1.0,3.0,33.333333333333336,0.0,2.0,0.0,3.0,4.0,75.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,5.0,-20.0,2.0,3.0
J. Miller,CSJL,220.7,29.0,63.0,46.03174603174603,21.0,39.0,53.84615384615385,8.0,24.0,33.333333333333336,41.0,49.0,83.6734693877551,107.0,10.0,28.0,38.0,25.0,25.0,15.0,0.0,15.0,16.0,47.0,-3.0,7.0,14.0
J. Nunag,CSJL,211.91666666670002,22.0,47.0,46.808510638297875,20.0,40.0,50.0,2.0,7.0,28.571428571428573,6.0,12.0,50.0,52.0,11.0,54.0,65.0,7.0,13.0,4.0,6.0,10.0,28.0,10.0,51.0,7.0,15.0
R. Go,CSJL,102.5833333333,13.0,31.0,41.935483870967744,13.0,25.0,52.0,0.0,6.0,0.0,15.0,21.0,71.42857142857143,41.0,9.0,16.0,25.0,4.0,3.0,1.0,2.0,3.0,12.0,16.0,-8.0,4.0,10.0
