PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
P. Are,SSCR,92.0,1.0,28.35,0.4929105724814409,45.767098789689456,0.28391376657384587,0.24932631363826588,0.03458745293558,27.0,22.8,65.40697674418604,61.111111111111114,1.3081395348837208,0.3333333333333333,3.6315464545843534,3.239965966270545,4.130791639277722,6.916449412148908,38.23614978596067,15.015015015015015,3.4582247060744535,7.5075075075075075,2.0,2.5,2.1896659675177603,32.93847645200031,,0.0,89.60000000000001,128.71446316818884,95.48477530013488,58.666550356805956,0.738575705072262,54.22788146117995,1.3093788063337393,0.5640317198367825,22.568814195727477,16.92661064679561,57.83314185706188
J. Estrada,CSJL,91.66666666666667,3.0,36.87222222223333,0.7404928903566864,24.275392884886166,0.39780369880132016,0.2619638948565476,0.1358398039447726,23.0,15.500000000000005,55.041480536056156,46.22641509433962,1.100829610721123,0.41509433962264153,13.661831419241578,3.284966940091725,22.002115019305947,7.694257939250441,34.63069537857579,16.54944145635085,8.656040181656747,18.6181216383947,0.8888888888888888,0.2222222222222222,-6.603058570404304,33.76392826487666,,39.23710511776227,88.0,96.1431192401608,95.28298639013428,43.87662329973095,0.6251996854061099,48.20996447467962,4.007820136852395,1.140033263767942,8.289096141135582,6.216822105851687,69.31575956307094
R. Are,SSCR,76.5,12.0,29.63055555555,2.726609881616947,26.233384818743108,1.5537518998181898,1.4520728904947953,0.10167900932339465,16.833333333333332,13.775,49.97249220612507,41.42857142857143,0.9994498441225014,0.56,9.120826209634764,7.749857657205256,10.868741309066273,7.444730761972027,28.327664252562794,17.81472684085511,4.273826918909867,10.22697281604645,1.7419354838709677,1.0,1.309396436702591,28.897994418455696,,6.5737274978461935,74.50434782608696,106.640647861199,102.78901463084173,49.72211240889925,0.5678837106554117,50.45294337314216,8.92204628501827,2.5514921255871177,8.400871108788117,6.3006533315910875,60.44543642848945
S. Estrada,CSJL,75.0909090909091,11.0,32.61363636363637,1.5183554548392608,19.32702289679976,0.9483141848471879,0.65511457386074,0.29319961098644787,18.0,10.654545454545454,54.38980432543769,48.89705882352941,1.0877960865087537,0.3235294117647059,12.33654083395016,5.739675336952705,17.638694410976154,8.748375745140576,37.23948142444173,22.1504730440006,7.710432860123897,19.522450818441207,1.1346153846153846,0.1346153846153846,-3.5166951532211788,26.757203463447464,,66.54084397986836,72.08727272727273,95.38730790229704,98.54151439515958,45.72826448415601,0.5502720195968918,48.632091558241925,9.514499837080482,2.513504099891292,3.6661817162134462,2.749636287160085,61.31008223573022
A. Liwag,CSB,73.42857142857143,14.0,31.04285714285,2.6291991833844888,22.979894980681177,2.4071159457561193,1.403519815888534,1.0035961298675853,18.5,11.9,53.60300618921309,53.47222222222222,1.0720601237842617,0.5833333333333334,18.123248127854232,11.58799948990891,23.529483712068135,3.7479246455473008,12.548379078937142,12.812035047115225,3.6270238505296457,12.398743593982477,1.0333333333333334,0.26666666666666666,-2.162244675829083,20.97177088215571,,77.210607419027,72.14035087719299,108.553558681915,87.1241245707404,55.64210188726476,0.6320820408072897,56.54973282423826,14.275335997094079,3.0743657153516017,10.633106738472579,7.9748300538544346,59.0803157399758
C. Escamis,MU,72.07142857142857,14.0,32.69285714285,1.6392331078851372,18.01872961951026,1.6709087144318042,1.1069572888150785,0.5639514256167257,11.857142857142858,9.721428571428572,45.47751389590702,40.144230769230774,0.9095502779181405,0.32211538461538464,6.256385751114761,2.999556906842871,9.805068911370281,6.488176635179286,24.037110137680823,17.10028093318676,3.9392500999302813,10.382313423720532,1.6470588235294117,0.7941176470588235,0.7465840266953975,26.05777869735888,,26.55836993845055,71.43362831858407,99.8101368617673,95.55752004237777,43.743822684034946,0.5527604194070186,45.50452193330908,10.090658257784785,2.2022254198035585,4.005522234683394,3.0041416760125452,61.650602702641564
W. Ynot,CSB,67.8,10.0,22.89500000001,1.5758339035555256,24.654575873095535,1.4305069971392705,0.8945167104722559,0.5359902866670145,13.8,9.41,50.70710829921846,48.0,1.0141421659843692,0.17,13.127121840809053,8.998650202465699,16.542369142960197,9.86839867713223,32.89767293590728,24.786718930136036,5.278445804047472,13.258012451002996,1.8695652173913044,0.6521739130434783,2.491981423571863,24.62226548744079,,0.0,66.61052631578947,108.9935751292166,86.87730957059759,47.14076856035469,0.637878897642949,47.23011858948127,8.281874318924809,1.9172997695449094,11.509492588410657,8.632119441307992,43.5734321310333
J. Barba,LPU,67.71428571428571,14.0,26.583333333342857,2.6469015216332585,25.115401858882965,1.4868475651901016,1.290833075262035,0.19601448992806664,16.071428571428573,11.578571428571431,54.71152107071803,50.259067357512954,1.0942304214143606,0.3316062176165803,12.597957208826555,5.86916230006883,19.503162470997406,5.913699686602836,25.007822384249383,14.137296159915834,5.5011159875375215,13.15097317201473,1.075,0.4,-2.9866709373518012,30.950949551221086,,0.0,66.52631578947367,102.49811139257704,100.94240099272143,45.74218391803653,0.5674319309348327,49.87627367038327,11.067073170731707,2.7664166758624407,10.031592758014073,7.523694568510555,51.93751347209473
K. Gurtiza,EAC,62.214285714285715,14.0,28.05833333332857,1.3440125999459194,17.697165749650193,1.0832824626350517,0.7234885496770281,0.35979391295802365,9.928571428571429,8.85,42.5183335933843,38.05309734513274,0.850366671867686,0.3053097345132743,7.197749836791408,5.743747127156706,8.709610785736832,5.141401288528487,21.24915575349592,12.64382349222405,2.5707006442642437,6.321911746112025,2.0,0.7,1.656515723830522,29.470409363652802,,48.1046826006296,61.663716814159294,94.98821300774331,97.98724975539136,41.04789926982561,0.47533766093703506,45.30695922011749,7.766990291262136,1.9277104668672498,1.705648817893638,1.2792366134202284,55.57128683026015
T. Felebrico,SSCR,60.07142857142857,14.0,30.883333333328572,1.9508991514481266,19.889402423278096,1.3697388984974734,1.3240018562626197,0.04573704223485377,16.714285714285715,10.764285714285714,53.928247048138054,49.32432432432432,1.0785649409627611,0.43243243243243246,14.644264973163583,7.010600939969647,24.376797936054427,3.4013030366010053,12.342837516981298,12.978023879563938,2.834419197167505,10.815019899636615,1.2,0.6,-1.0768122573669008,19.189761199365286,,0.0,58.504347826086956,109.67176571758328,104.19801423475309,52.561770369241465,0.5349569483143829,51.909731604918264,10.749086479902559,2.8490009780022723,9.200688093326772,6.900516069995079,63.001065174085326
